time,street_id,AQI_Target,temp,humidity,wind,traffic,industrial_pollution,dist_to_ind
2026-05-01 16:00:00,Thazhankuppam_St_01,105.3,33.2,68.0,6.7,30.0,"industry_id
Plant_Air_Compressor    156.96
Plant_Air_Compressor    155.44
Name: emission_intensity, dtype: float64",1.72
2026-05-01 16:00:00,Thazhankuppam_St_02,101.2,33.2,68.0,6.7,30.0,"industry_id
Plant_Air_Compressor    156.96
Plant_Air_Compressor    155.44
Name: emission_intensity, dtype: float64",1.68
2026-05-01 16:00:00,Thazhankuppam_St_03,109.3,33.2,68.0,6.7,33.5,"industry_id
Plant_Air_Compressor    156.96
Plant_Air_Compressor    155.44
Name: emission_intensity, dtype: float64",1.83
2026-05-01 16:00:00,Thazhankuppam_St_04,114.5,33.2,68.0,6.7,33.5,"industry_id
Plant_Air_Compressor    156.96
Plant_Air_Compressor    155.44
Name: emission_intensity, dtype: float64",1.8
2026-05-01 16:00:00,Thazhankuppam_St_05,102.9,33.2,68.0,6.7,30.0,"industry_id
Plant_Air_Compressor    156.96
Plant_Air_Compressor    155.44
Name: emission_intensity, dtype: float64",1.81
2026-05-01 16:00:00,Thazhankuppam_St_06,92.3,33.2,68.0,6.7,30.0,"industry_id
Plant_Air_Compressor    156.96
Plant_Air_Compressor    155.44
Name: emission_intensity, dtype: float64",1.85
2026-05-01 16:00:00,Thazhankuppam_St_07,107.3,33.2,68.0,6.7,30.0,"industry_id
Plant_Air_Compressor    156.96
Plant_Air_Compressor    155.44
Name: emission_intensity, dtype: float64",1.88
2026-05-01 16:00:00,Thazhankuppam_St_08,98.6,33.2,68.0,6.7,30.0,"industry_id
Plant_Air_Compressor    156.96
Plant_Air_Compressor    155.44
Name: emission_intensity, dtype: float64",1.89
2026-05-01 16:00:00,Thazhankuppam_St_09,103.1,33.2,68.0,6.7,30.0,"industry_id
Plant_Air_Compressor    156.96
Plant_Air_Compressor    155.44
Name: emission_intensity, dtype: float64",1.9
2026-05-01 16:00:00,Thazhankuppam_St_10,101.2,33.2,68.0,6.7,30.0,"industry_id
Plant_Air_Compressor    156.96
Plant_Air_Compressor    155.44
Name: emission_intensity, dtype: float64",1.92
2026-05-01 16:00:00,Thazhankuppam_St_11,100.9,33.2,68.0,6.7,30.0,"industry_id
Ashok_Leyland_Ennore    141.95
Ashok_Leyland_Ennore    182.36
Name: emission_intensity, dtype: float64",2.05
