time,street_id,city,sensor_aqi,temp,humidity,wind_speed,current_speed,free_flow_speed,confidence,pm25,no2,so2,co,emission_intensity,lat,lon,TARGET_VAL,industrial_pollution,traffic,aqi_lag1,aqi_lag3,aqi_lag6,aqi_lag12,aqi_lag24,aqi_roll3,aqi_roll6,aqi_roll12,aqi_roll24,aqi_roll6_std,hour,day_of_week,is_weekend,month,industrial_shift,peak_traffic,target_6,target_12,target_18,target_24
2026-04-25 04:00:00,Thazhankuppam_St_01,Chennai,66.65325,37.28,54.0,9.48,30.0,30.0,1.0,54.7106454263474,36.72872659692536,21.835680613359497,10.83503943738432,146.76838213530513,13.229825,80.32917,66.65325,146.76838213530513,30.0,50.14496666666667,58.46656666666667,62.7623,82.73193333333334,54.72078333333334,59.845800000000004,59.39215277777779,65.05611805555556,72.30350069444444,5.613315997156579,4,5,1,4,0,0,83.16825,90.27358333333332,63.61486666666666,72.48596666666667
2026-04-25 05:00:00,Thazhankuppam_St_01,Chennai,68.99300000000001,37.28,54.0,9.48,30.0,30.0,1.0,54.7106454263474,36.72872659692536,21.835680613359497,10.83503943738432,146.76838213530513,13.229825,80.32917,68.99300000000001,146.76838213530513,30.0,66.65325,62.73918333333334,61.06636666666667,80.56545,74.98025,61.93040555555556,60.713258333333336,64.09174722222222,72.05403194444445,6.876742518443681,5,5,1,4,0,0,94.013,86.67878333333333,58.8416,67.8378
2026-04-25 06:00:00,Thazhankuppam_St_01,Chennai,76.85618333333333,37.28,54.0,9.48,30.0,30.0,1.0,54.7106454263474,36.72872659692536,21.835680613359497,10.83503943738432,146.76838213530513,13.229825,80.32917,76.85618333333333,146.76838213530513,30.0,68.99300000000001,50.14496666666667,57.282583333333335,77.25785,70.9529,70.83414444444445,63.975525000000005,64.05827500000001,72.30000208333334,9.18061144040189,6,5,1,4,1,0,86.93741666666666,79.97328333333334,54.923,68.49571666666667
2026-04-25 07:00:00,Thazhankuppam_St_01,Chennai,85.26036666666667,37.28,54.0,9.48,30.0,30.0,1.0,54.7106454263474,36.72872659692536,21.835680613359497,10.83503943738432,146.76838213530513,13.229825,80.32917,85.26036666666667,146.76838213530513,30.0,76.85618333333333,66.65325,58.46656666666667,70.8279,71.92916666666666,77.03651666666669,68.44115833333335,65.26098055555556,72.85546875,12.037131789161338,7,5,1,4,1,1,80.43488333333333,80.53541666666666,62.27971666666667,76.90665
2026-04-25 08:00:00,Thazhankuppam_St_01,Chennai,77.39051666666666,37.28,54.0,9.48,30.0,30.0,1.0,54.7106454263474,36.72872659692536,21.835680613359497,10.83503943738432,146.76838213530513,13.229825,80.32917,77.39051666666666,146.76838213530513,30.0,85.26036666666667,68.99300000000001,62.73918333333334,67.12831666666666,80.06115,79.8356888888889,70.88304722222223,66.11616388888889,72.7441923611111,12.134778746659508,8,5,1,4,1,1,79.77708333333334,61.418866666666666,58.597366666666666,76.55186666666667
2026-04-25 09:00:00,Thazhankuppam_St_01,Chennai,86.16316666666667,37.28,54.0,9.48,30.0,30.0,1.0,54.7106454263474,36.72872659692536,21.835680613359497,10.83503943738432,146.76838213530513,13.229825,80.32917,86.16316666666667,146.76838213530513,30.0,77.39051666666666,76.85618333333333,50.14496666666667,65.77868333333333,73.60813333333333,82.93801666666667,76.88608055555555,67.81487083333333,73.26731875,8.043132300951044,9,5,1,4,0,1,84.71508333333334,58.3866,54.7354,78.21923333333334
2026-04-25 10:00:00,Thazhankuppam_St_01,Chennai,83.16825,37.28,54.0,9.48,30.0,30.0,1.0,54.7106454263474,36.72872659692536,21.835680613359497,10.83503943738432,146.76838213530513,13.229825,80.32917,83.16825,146.76838213530513,30.0,86.16316666666667,85.26036666666667,66.65325,62.7623,75.0258,82.24064444444444,79.63858055555555,69.51536666666668,73.6065875,6.523146178080194,10,5,1,4,0,0,90.27358333333332,63.61486666666666,72.48596666666667,91.58313333333332
2026-04-25 11:00:00,Thazhankuppam_St_01,Chennai,94.013,37.28,54.0,9.48,30.0,30.0,1.0,54.7106454263474,36.72872659692536,21.835680613359497,10.83503943738432,146.76838213530513,13.229825,80.32917,94.013,146.76838213530513,30.0,83.16825,77.39051666666666,68.99300000000001,61.06636666666667,81.2682,87.78147222222223,83.80858055555557,72.26091944444444,74.13762083333334,6.351682128428866,11,5,1,4,0,0,86.67878333333333,58.8416,67.8378,80.68041666666667
2026-04-25 12:00:00,Thazhankuppam_St_01,Chennai,86.93741666666666,37.28,54.0,9.48,30.0,30.0,1.0,54.7106454263474,36.72872659692536,21.835680613359497,10.83503943738432,146.76838213530513,13.229825,80.32917,86.93741666666666,146.76838213530513,30.0,94.013,86.16316666666667,76.85618333333333,57.282583333333335,83.34521666666666,88.03955555555557,85.48878611111111,74.73215555555555,74.28729583333335,5.408041666335884,12,5,1,4,0,0,79.97328333333334,54.923,68.49571666666667,84.59603333333334
2026-04-25 13:00:00,Thazhankuppam_St_01,Chennai,80.43488333333333,37.28,54.0,9.48,30.0,30.0,1.0,54.7106454263474,36.72872659692536,21.835680613359497,10.83503943738432,146.76838213530513,13.229825,80.32917,80.43488333333333,146.76838213530513,30.0,86.93741666666666,83.16825,85.26036666666667,58.46656666666667,95.25391666666668,87.12843333333335,84.6845388888889,76.56284861111111,73.66983611111111,5.793849318062069,13,5,1,4,0,0,80.53541666666666,62.27971666666667,76.90665,89.70733333333334
