time,street_id,city,aqi,pm25,pm10,no2,so2,temp,humidity,wind
2026-05-01 12:00:00,Thazhankuppam_St_01,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_02,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_03,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_04,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_05,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_06,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_07,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_08,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_09,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_10,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_11,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_12,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_13,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_14,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_15,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_16,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_17,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_18,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_19,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_20,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_21,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_22,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_23,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_24,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_25,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_26,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_27,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_28,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_29,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_30,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_01,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_02,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_03,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_04,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_05,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_06,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_07,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_08,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_09,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_10,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_11,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_12,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_13,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_14,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_15,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_16,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_17,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_18,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_19,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_20,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_21,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_22,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_23,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_24,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_25,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_26,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_27,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_28,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_29,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 12:00:00,Thazhankuppam_St_30,Chennai,73,67,56,3.4,6.9,37,49.438,0.46
2026-05-01 13:00:00,Thazhankuppam_St_01,Chennai,147,78,60,4.3,6.9,37,48.367000000000004,0.48
